CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,8,527.8026,1
1,4,646.3125001,0
0,4,665.4359,0
1,4,663.3674,0
0,4,886.0739001,0
1,4,651.9337,2
1,8,528.2189,0
1,16,443.319,1
0,16,692.3976,0
0,16,500.4299,1
1,16,541.5805,1
0,16,947.7719999,4
1,16,524.0692001,3
1,4,465.8829,4
1,4,566.5352999,5
1,16,498.5043,5
1,16,535.2007,3
1,16,611.923,5
1,8,694.5375,1
1,8,602.8272,0
1,8,512.4513,1
1,16,575.7507,0
1,4,750.5929,4
1,8,559.8531,3
1,16,585.2175,3
1,8,565.5907,3
0,8,861.9042,5
1,8,540.2232,3
0,4,673.6126,3
1,4,792.6596,4
1,16,758.2434,4
1,4,560.0582,4
0,4,665.1302,6
1,4,442.8223,6
0,4,577.0841,6
1,4,558.0785,7
0,16,573.3639,6
1,16,819.0075,8
1,16,484.9303,8
0,4,509.7892,8
1,4,691.0404,6
