CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,180,919.8499,0
1,150,727.4445001,2
1,-90,824.7728999,0
1,60,845.0209998,2
1,0,512.9478,1
1,30,535.0572001,1
1,-60,515.5914001,1
1,90,524.225,1
1,-180,559.1234001,1
0,-120,687.8293,2
1,-120,971.9480001,0
1,-120,817.1304,2
1,0,486.6391001,1
1,-180,765.7960001,2
1,-60,757.4483002,0
1,120,846.5491002,0
1,150,566.3555001,0
0,0,509.5963999,0
1,0,537.1116001,1
1,30,516.851,0
0,-150,543.1661,1
1,-150,856.9031001,0
1,90,561.4487,1
1,-90,571.0712,0
1,60,756.5310001,0
1,-150,825.3427001,1
1,120,479.6092002,1
1,-30,623.6511999,0
1,180,514.3889,1
1,-60,725.4575001,2
1,90,755.8743001,0
1,-30,631.7982999,4
1,0,490.7029999,3
1,-30,734.4374002,4
0,150,749.6014002,5
1,150,826.2289999,5
1,-120,582.3655,4
1,0,587.2037,4
1,-150,570.3114,5
1,150,878.9865001,5
1,180,752.1976,4
1,90,660.0815,4
1,-180,549.4984,5
1,-30,477.0732001,5
1,120,560.1494999,5
1,-60,475.7273998,4
1,60,559.2196,3
1,-150,556.2288999,3
1,0,475.4891,5
1,-30,435.7522999,5
1,0,549.0227999,4
1,150,486.5373001,3
1,30,504.6589,3
1,-180,597.6632,4
1,120,607.8515998,4
1,0,500.4985,5
0,120,662.5786999,5
1,120,561.4224,5
1,150,626.5842,4
0,-60,647.6548,5
1,-60,564.6686,4
1,0,506.2683001,5
1,-30,763.9403001,5
1,-120,564.0079,5
1,60,955.7794999,5
1,-60,530.211,3
1,60,559.4503,5
1,-150,501.6412998,5
1,0,851.3953002,8
1,-60,1144.8328,6
1,0,492.9302999,6
1,60,551.6732,6
1,180,617.9493999,8
1,30,578.5198,8
1,180,688.4009999,6
1,90,538.5652001,6
1,180,647.6244999,8
1,180,570.9336999,6
1,60,526.4817002,6
1,0,470.0453,7
1,-120,537.5371001,7
1,-30,907.0843,8
0,-150,455.9058,6
1,-150,623.2711999,8
1,60,579.928,7
1,-90,743.6406,6
1,150,700.0557999,6
1,-30,555.8852002,8
1,-90,550.8866001,6
1,-90,472.7640001,7
1,90,460.6569,6
1,30,497.0747,6
0,-180,778.9336001,6
1,-180,622.5562,8
1,-90,542.4297001,7
1,-120,517.8267001,6
1,90,532.9945002,6
