Correct Response,Height/Rotation,RT,Face
1,"(4, -45)",536.4250999959186,1
1,"(4, 45)",448.6123999780975,2
1,"(4, -90)",542.1684999568388,1
1,"(16, -135)",580.8659999715164,2
1,"(16, 90)",681.0692999828607,1
1,"(4, -45)",523.0717000053264,0
1,"(8, 90)",477.17490000324324,1
1,"(8, 0)",504.24090004200116,0
0,"(4, 45)",505.19190000742674,0
1,"(4, 45)",727.595100001432,0
1,"(16, 135)",580.8968999739736,2
1,"(8, 135)",561.8092999760993,2
1,"(16, 45)",541.5775000550784,2
1,"(8, 0)",411.72600001702085,2
1,"(16, -45)",450.605400019791,1
1,"(4, 135)",565.3237000191584,2
1,"(4, -45)",503.7398000098765,0
1,"(8, 90)",537.6329999966547,2
1,"(16, 0)",427.9177999673411,1
1,"(16, 0)",610.5153000066057,0
1,"(8, 45)",474.5648000356741,1
1,"(4, -90)",508.91259999154136,0
1,"(4, -90)",540.9597000074573,0
1,"(4, 0)",481.06140002748,0
1,"(8, 90)",518.1504000178538,0
1,"(16, 0)",483.4970000050962,0
1,"(8, -90)",487.0501999943517,0
1,"(8, -135)",634.0590000003576,2
1,"(16, 90)",603.9957999568433,2
1,"(16, -90)",549.6372000165284,1
0,"(4, -135)",620.560700012371,2
1,"(4, -135)",723.4153000139631,0
1,"(16, 0)",444.4235000377521,1
1,"(16, 45)",488.00440004235134,1
1,"(16, -135)",607.8480000109412,2
1,"(8, -45)",505.67360000824556,1
0,"(4, 0)",710.5212000282481,2
1,"(4, 0)",497.6685999976471,1
1,"(8, -90)",481.7596999895759,1
0,"(4, -45)",582.1697000032291,0
1,"(4, -45)",365.78960000444204,1
1,"(16, 90)",532.318499983754,2
1,"(16, 135)",802.6489000152797,0
1,"(16, 45)",456.31970005016774,1
1,"(4, 45)",625.9041000124998,2
1,"(16, -135)",521.5773999774829,1
1,"(4, 135)",515.8942000092939,0
1,"(8, 135)",624.9574000216089,2
1,"(4, 135)",609.2713000220247,2
1,"(4, 0)",515.4877999997698,0
1,"(8, 0)",473.03520003007725,1
1,"(4, 90)",710.72119997954,1
1,"(16, 45)",539.2762999949045,2
1,"(8, 0)",388.8094999678433,1
1,"(16, 135)",479.5938000283204,1
1,"(4, 135)",662.2198999943212,2
1,"(8, 135)",525.1100000427105,0
1,"(8, -135)",484.1699000066146,1
1,"(8, 0)",490.5103999739513,0
1,"(16, -45)",675.3004000023939,0
1,"(16, -135)",577.1281999736093,2
1,"(8, 45)",514.844200046733,0
1,"(16, -45)",484.2195999776013,0
1,"(8, 45)",523.6305000111461,0
1,"(8, -135)",547.9412000244483,2
1,"(16, 135)",533.7147000213154,0
1,"(8, 90)",507.29909998737276,2
1,"(4, -90)",476.7817999785766,0
1,"(4, -90)",589.1360000208952,2
1,"(16, 90)",481.0135999545455,1
1,"(4, 45)",489.1218999950215,0
1,"(4, 0)",470.6546000055969,0
1,"(16, -90)",593.5493999826722,2
1,"(16, -135)",511.74220000067726,1
1,"(16, 0)",467.5210000099614,0
1,"(4, -135)",614.9359000232071,0
1,"(8, -45)",424.45500002615154,0
1,"(8, 90)",444.0885999905877,1
1,"(8, 45)",744.0426000361331,2
1,"(16, -45)",543.6135000167415,4
1,"(8, -90)",550.4277999829501,3
1,"(16, 45)",641.9165999945253,3
1,"(4, 0)",594.2677999814041,4
1,"(4, 0)",521.4193999967538,3
1,"(16, -90)",600.8614000133239,4
1,"(8, 0)",480.0500000095926,4
1,"(8, 45)",560.0668999799527,3
1,"(8, 0)",506.7851999741979,5
1,"(16, 45)",418.6412999955937,4
1,"(16, 0)",525.0129000018351,5
1,"(4, 45)",567.8238000222482,4
1,"(8, 0)",417.02679998381063,4
1,"(4, 0)",502.6168000153266,5
1,"(8, -45)",444.7138000363484,4
0,"(16, -135)",535.7744000470266,5
1,"(16, -135)",621.2004999946803,3
1,"(8, -45)",555.0790000092238,5
1,"(16, -45)",423.3969000019133,4
1,"(16, -90)",628.1726999990642,5
1,"(4, 0)",504.9509999775328,5
1,"(4, 90)",561.9479999844916,3
1,"(4, -45)",535.0090999822132,4
1,"(16, 45)",495.3783000204712,4
1,"(4, 90)",584.3203999651596,3
1,"(16, 90)",520.393000039272,3
1,"(4, 0)",510.9301999877207,5
1,"(16, 0)",474.6637999746017,3
1,"(16, 0)",525.1508000041358,4
1,"(8, -135)",544.6135000060312,5
0,"(4, 135)",645.7345999628305,4
1,"(4, 135)",537.9570999615826,4
1,"(4, 45)",589.173200013116,3
1,"(16, 90)",497.46849998738617,4
1,"(4, 0)",567.5195999760181,5
1,"(8, -90)",585.1017999779433,5
1,"(8, -135)",507.39159999322146,5
1,"(16, -135)",550.3591999844648,5
1,"(16, 135)",546.2089999895543,3
1,"(8, -45)",546.9104999760166,3
1,"(8, -45)",500.9295999738388,3
1,"(16, 0)",502.17509996984154,5
1,"(16, -135)",569.7606999860145,5
1,"(16, 90)",588.0262000104412,5
1,"(8, 135)",572.5733999828808,4
1,"(4, -90)",590.7986999922432,3
1,"(4, -135)",533.9675000254065,4
1,"(8, -135)",600.468699991703,5
1,"(8, -45)",459.4711000067182,4
1,"(4, -135)",518.8431999962777,4
1,"(4, 0)",529.8194999890402,4
1,"(16, 0)",482.687300009653,4
1,"(8, 135)",500.0928000048734,4
1,"(8, 135)",590.421200028155,5
0,"(4, 90)",547.7852000007406,5
1,"(4, 90)",524.2630999968387,5
1,"(16, -45)",530.7391999489628,3
1,"(4, 45)",477.4792999927886,4
1,"(8, -90)",565.7325999895111,4
1,"(4, -135)",493.73340001003817,4
1,"(16, 90)",488.1739999949932,4
1,"(16, 45)",452.36659998446703,4
1,"(8, 0)",485.7094999719411,3
1,"(8, 0)",478.83760003279895,5
1,"(4, -90)",644.4665999701247,5
1,"(4, 135)",584.1969000142999,5
1,"(4, 90)",564.012200044468,5
1,"(4, 45)",560.4070000085048,3
1,"(16, -90)",516.6619999767281,3
1,"(16, 0)",496.11519998544827,3
1,"(4, -45)",521.8917999849655,5
1,"(4, 0)",526.644499969203,5
1,"(8, -135)",509.7888999702409,4
1,"(16, -45)",533.2787000192329,5
1,"(16, 135)",561.3187999664806,5
1,"(4, -45)",658.2015000134706,4
1,"(16, -90)",535.8920000111684,4
1,"(8, -90)",574.9757999987341,3
1,"(8, 0)",598.4215000029653,8
1,"(4, -135)",532.0243999562226,8
1,"(8, 0)",528.4586000456475,8
1,"(8, -135)",555.0869999537244,6
1,"(4, 90)",485.6209999965504,8
1,"(16, 0)",478.07090001553297,6
1,"(4, -45)",532.5547000360675,7
1,"(8, -90)",498.3619000380859,8
1,"(8, -90)",526.8617999940179,6
1,"(8, 45)",414.41980003984645,7
1,"(4, 0)",488.67139999894425,8
1,"(16, 0)",495.1406999574974,7
1,"(4, -135)",473.7852999791503,7
1,"(16, -135)",477.60659997258335,8
1,"(4, 135)",566.6480000331067,6
1,"(4, -45)",504.8959000236355,8
1,"(16, -45)",549.3230000105686,8
1,"(8, 90)",439.44949999824166,7
1,"(8, 0)",401.64860000042245,7
1,"(16, 135)",480.6193999797106,8
1,"(4, 0)",431.3853000025265,8
1,"(8, 90)",622.5811999724247,6
1,"(8, -45)",446.58849999215454,7
1,"(8, 90)",457.01760000921786,7
1,"(16, -135)",578.6797000295483,6
1,"(4, 135)",504.8395000016317,8
1,"(4, -90)",515.4245999841951,7
1,"(8, 90)",521.5036999983713,8
1,"(4, 0)",512.8355000019073,6
1,"(8, 0)",521.652200023178,6
1,"(4, 135)",508.04919999465346,7
1,"(16, 0)",458.69259995780885,7
1,"(16, -45)",569.3375999657437,6
1,"(4, 0)",476.04539995919913,8
1,"(4, 0)",544.1420999672264,6
1,"(16, 0)",489.79259997978806,7
1,"(8, 135)",403.89640000322834,7
1,"(16, 0)",405.8096999619156,7
1,"(4, 0)",525.7915999940597,8
1,"(4, -135)",522.97659997968,7
1,"(8, 135)",571.411399982404,6
1,"(16, -90)",667.0507999919355,6
1,"(16, -90)",575.1625000233762,6
1,"(16, -90)",568.7855000109412,8
1,"(8, 135)",670.1887000203133,8
1,"(8, 45)",449.64920001477003,7
1,"(8, 45)",607.9664000393823,6
1,"(8, 0)",427.1737000057474,7
1,"(8, -90)",534.8423000508919,8
1,"(8, 0)",496.6333999731578,6
1,"(16, 135)",469.9195999968797,6
1,"(8, -45)",461.9134999779053,7
1,"(8, 45)",613.5880000041798,6
1,"(8, 0)",523.3728999705054,6
1,"(4, -45)",609.1136999861337,6
