Correct Response,Rotation (deg),Reaction Time (ms)-delay,Target
1,-150,943.585194,1
1,-150,600.699356,0
1,-150,847.339235,2
0,-150,1139.23825,0
1,-150,642.656181,2
1,-150,765.229786,0
1,-150,682.1843,2
1,-150,730.958466,1
1,-150,685.53661,0
1,-150,661.248278,2
1,-150,785.05988,0
1,-150,528.741573,0
1,-150,706.519282,1
1,-150,885.190789,0
1,-150,642.607907,1
1,-150,1161.5949,2
1,-120,1160.49356,2
1,-120,693.215442,1
1,-120,1156.0358,0
0,-120,1284.84937,0
0,-120,751.811,0
1,-120,904.981905,0
1,-120,840.949607,0
1,-120,740.772385,2
1,-120,722.090114,0
1,-120,811.87199,1
1,-120,700.19897,2
1,-120,762.176844,0
1,-120,946.932252,1
1,-120,554.245355,1
1,-120,994.3485,0
1,-120,676.597298,1
1,-120,667.212047,0
1,-90,649.50319,1
1,-90,737.623145,1
1,-90,1257.79404,0
1,-90,623.42085,2
1,-90,1208.70921,1
1,-90,1061.69375,2
1,-90,738.497912,0
1,-90,654.490381,1
1,-90,630.987228,2
1,-90,1018.11506,1
1,-90,601.921651,2
1,-90,851.975204,1
1,-90,1122.03605,1
1,-90,667.27474,1
1,-90,786.425416,2
1,-60,501.403627,1
1,-60,665.770594,2
1,-60,744.095603,0
1,-60,541.997891,2
1,-60,628.782059,0
1,-60,886.082859,1
1,-60,602.897485,1
1,-60,854.511469,2
1,-60,738.979621,1
1,-60,690.970035,0
1,-60,541.766625,1
1,-60,614.816565,2
1,-60,765.514867,2
1,-60,742.448221,2
1,-60,629.29744,0
1,-30,854.998771,2
1,-30,892.324221,1
1,-30,737.467661,1
1,-30,754.435818,2
1,-30,470.61629,1
1,-30,1015.67597,1
1,-30,963.436052,0
1,-30,908.324529,0
1,-30,1160.53045,1
1,-30,745.509583,2
1,-30,876.476283,1
1,-30,707.507128,2
1,-30,1022.07523,1
1,-30,944.799395,1
1,-30,731.539892,1
1,0,654.836554,0
1,0,792.063639,1
1,0,700.115135,0
1,0,703.512075,1
1,0,702.320184,2
1,0,704.745105,1
1,0,777.529788,0
1,0,1056.6003,2
1,0,794.041075,0
1,0,854.317257,1
0,0,665.232448,0
1,0,671.374896,0
1,0,614.77253,1
0,0,816.692531,0
1,0,431.500537,0
1,0,814.15731,1
1,0,938.838907,0
1,30,904.029462,1
1,30,683.651024,1
1,30,1012.75204,0
1,30,969.776921,0
1,30,772.589975,2
0,30,737.317637,1
1,30,1143.63844,1
1,30,542.341652,1
1,30,788.410547,1
1,30,541.603104,2
1,30,1078.81971,0
1,30,804.992587,2
1,30,888.263794,2
1,30,870.026401,2
1,30,814.878723,2
1,30,679.580123,2
1,60,662.847171,1
0,60,969.338191,0
1,60,773.885931,2
1,60,1100.02864,0
1,60,762.615216,2
1,60,841.163169,0
1,60,890.725917,1
0,60,570.409738,2
1,60,1069.07844,0
1,60,822.146252,0
1,60,700.112604,0
1,60,602.410577,0
1,60,694.240294,1
1,60,666.81024,2
1,60,839.306429,2
1,60,626.978155,2
1,60,873.232998,1
1,90,769.494906,2
1,90,715.874013,2
1,90,768.304308,0
1,90,769.289881,1
1,90,1145.15651,0
1,90,691.056277,0
1,90,755.335443,2
1,90,1043.68296,2
1,90,910.778597,2
1,90,603.392219,2
1,90,892.192761,1
1,90,725.900275,1
1,90,970.372244,1
1,90,686.491846,1
1,90,716.719864,0
1,120,1319.38374,2
0,120,778.887417,0
1,120,820.713921,0
1,120,915.53776,1
1,120,560.419103,2
1,120,655.12072,2
1,120,762.360904,1
1,120,554.352257,0
1,120,724.017612,0
1,120,678.492135,1
1,120,569.479489,0
1,120,868.750876,1
1,120,700.152366,0
1,120,669.902753,0
1,120,651.551027,2
1,120,573.976501,0
1,150,687.327311,1
1,150,1288.97921,0
1,150,711.265758,2
1,150,1121.60382,0
1,150,772.619767,2
1,150,673.292693,2
1,150,820.126236,1
1,150,773.281563,1
1,150,703.460482,1
1,150,714.58721,1
1,150,1194.6467,1
1,150,809.571784,0
1,150,1035.86793,1
1,150,627.906559,2
1,150,843.553289,1
1,180,1186.07511,0
1,180,641.052288,1
1,180,605.572688,2
1,180,593.138703,2
1,180,706.096537,0
0,180,686.198616,0
1,180,700.254956,0
1,180,900.850132,0
1,180,897.616036,0
1,180,600.867137,2
1,180,916.98881,1
1,180,686.09,2
1,180,613.716504,0
1,180,676.916474,2
1,180,729.648757,1
1,180,740.279741,0
1,-180,1186.1,0
1,-180,641.05,1
1,-180,605.57,2
1,-180,593.14,2
1,-180,706.1,0
0,-180,686.2,0
1,-180,700.25,0
1,-180,900.85,0
1,-180,897.62,0
1,-180,600.87,2
1,-180,916.99,1
1,-180,686.09,2
1,-180,613.72,0
1,-180,676.92,2
1,-180,729.65,1
1,-180,740.28,0
