CorrectResponse,Height_Rotation,RT,Face
1,8,546.850999988616,1
1,8,778.242899974808,0
0,4,498.248199987225,0
1,4,527.308699962683,1
1,4,675.915300027933,2
1,8,555.227899978869,5
0,16,-109,5
1,16,693.941799978726,5
0,16,733.913899978157,3
1,16,543.439399971627,5
1,4,554.554499973543,3
1,16,791.208400038537,6
1,8,838.568100003991,8
1,4,760.67879999429,8
1,4,696.154700006824,8
0,16,739.394700034987,6
0,16,610.843700004276,6
1,16,733.619700008072,8
0,16,417.45239996491,6
0,16,558.589400021825,8
0,16,509.338200030848,7
1,16,558.237699963152,8
1,8,714.618399968836,6
