Correct Response,Height/Rotation,RT,Face
1,"(4, 0)",517.0259000118822,1
1,"(4, 30)",559.4305999660864,1
1,"(4, 150)",482.43720008432865,1
0,"(8, -180)",938.8183999657631,2
1,"(8, -180)",561.500100008212,1
1,"(16, -30)",781.1768999639899,1
1,"(4, 180)",808.7864999510348,0
1,"(4, 180)",642.7233999678865,1
0,"(4, -180)",665.7168000787497,2
1,"(4, -180)",583.6737000467256,1
1,"(16, 30)",780.1260999953374,0
1,"(8, 0)",512.1672000354156,1
1,"(16, 60)",727.976999999024,1
1,"(16, 90)",964.1791000580415,0
1,"(16, 150)",614.2737999875098,2
1,"(16, -180)",557.9227000093088,1
1,"(4, 30)",481.5307999346405,1
1,"(16, 90)",789.3957999153063,1
0,"(16, 90)",644.0607999069616,2
1,"(16, 90)",641.3956999862567,2
1,"(8, -150)",606.628599980846,1
0,"(16, 90)",584.9600000623614,2
1,"(16, 90)",457.8376999674365,1
0,"(8, 60)",806.5967000406235,2
1,"(8, 60)",747.6833999939263,2
1,"(16, 60)",825.005199931562,2
1,"(4, -60)",604.2015000097454,2
1,"(8, -180)",527.6858000401407,1
1,"(16, -30)",518.0665999036282,1
1,"(8, 30)",549.356299973093,1
1,"(8, 180)",760.5955000584945,0
1,"(8, -150)",739.4870999818668,1
1,"(4, 0)",548.9266999615356,1
1,"(8, -90)",880.2723000375554,1
1,"(16, 0)",995.5874999836087,0
0,"(4, 0)",513.389999916777,2
1,"(4, 0)",911.7525999285281,0
1,"(8, -150)",454.45209991559386,0
1,"(4, 60)",512.6630000853911,0
1,"(4, -30)",596.2383999107406,2
1,"(16, 0)",499.5489001125097,1
1,"(8, 180)",595.4016999425367,0
1,"(4, -120)",460.97820001561195,1
1,"(16, -150)",855.626400033012,2
1,"(16, 90)",563.5622999947518,0
1,"(4, 120)",737.2061999598518,0
0,"(8, -150)",968.7615000260994,0
1,"(8, -150)",673.461000024341,2
1,"(8, 150)",958.9542999714613,2
1,"(16, -60)",648.5329000828788,0
1,"(16, -90)",727.7510000243783,0
1,"(4, -150)",607.732099885121,1
1,"(8, 30)",1083.516899900511,2
1,"(16, -120)",459.22189991362393,2
1,"(4, -90)",714.9133999450132,2
1,"(4, 90)",689.4338999958709,2
1,"(4, 30)",899.0376999685541,2
1,"(16, 60)",439.3329000417143,2
1,"(16, 60)",757.7028999188915,0
1,"(4, 180)",641.8648000657558,1
1,"(16, 120)",605.1193000134081,0
1,"(16, -150)",509.83639998268336,2
1,"(8, 120)",531.3216999024153,0
0,"(8, -30)",790.7431000461802,0
1,"(8, -30)",495.4240000192076,0
1,"(16, 120)",684.4697999153286,0
1,"(4, -180)",845.7223999397829,2
1,"(8, -60)",606.6607999932021,1
1,"(8, 0)",694.652900038287,0
1,"(4, 0)",568.7714000781998,0
0,"(4, 90)",684.7531999778003,2
1,"(4, 90)",577.7419000482187,0
1,"(8, 90)",579.2605999708176,1
1,"(8, 0)",1063.2259999951348,2
1,"(8, -90)",500.69690000638366,1
1,"(16, -150)",920.8573999898508,2
1,"(4, 150)",593.7389000868425,0
1,"(8, 150)",518.2685000440106,1
1,"(8, -120)",581.7137000234798,2
1,"(16, 0)",499.3191999932751,5
1,"(16, 0)",515.2836000164971,3
1,"(4, 60)",892.4740999322385,5
1,"(4, 60)",685.4482999155298,4
1,"(16, 0)",349.69460003450513,3
0,"(16, 120)",963.1947000129148,5
1,"(16, 120)",589.0200000107288,3
1,"(16, -180)",446.12620008084923,5
1,"(4, 150)",690.153900006786,5
0,"(8, -60)",537.7266000108793,5
0,"(8, -60)",826.2375000016764,4
1,"(8, -60)",981.1710001053289,4
1,"(8, 0)",1035.7109000291675,5
1,"(16, 150)",637.1747000925243,3
1,"(16, -60)",589.2601000927389,3
0,"(8, 90)",-109.0,5
1,"(8, 90)",558.0735999941826,3
1,"(8, -30)",873.3140000225976,5
1,"(4, -90)",549.4597999462858,4
1,"(8, 0)",439.80440002307296,4
1,"(8, -180)",464.3036999590695,3
0,"(4, -120)",618.1176000358537,5
1,"(4, -120)",932.5151999332011,5
1,"(4, -30)",678.6471999334171,5
1,"(4, 0)",596.4093000479043,4
1,"(4, 90)",736.870399964042,4
1,"(16, 0)",582.5279000531882,3
1,"(8, 30)",710.9289999902248,4
1,"(4, 180)",760.6036000037566,5
1,"(4, -180)",919.0483999522403,4
0,"(8, -90)",720.9239000771195,5
1,"(8, -90)",928.1959999902174,4
1,"(16, -30)",749.0734999850392,5
1,"(8, 90)",792.5135000227019,5
1,"(8, 120)",1022.7735000047833,4
1,"(16, -180)",679.3614000165835,3
1,"(4, -120)",674.7629000423476,3
0,"(4, 0)",867.3869000598788,5
1,"(4, 0)",1007.4217999903485,4
1,"(8, -120)",656.2686999645084,3
0,"(4, 0)",960.6249000029638,5
1,"(4, 0)",585.9833000544459,5
1,"(16, 60)",606.8104000845924,3
1,"(8, -60)",776.6447000289336,4
1,"(16, -90)",1007.596799925901,4
1,"(4, 90)",845.7345000319183,3
0,"(4, 150)",834.958800053224,5
1,"(4, 150)",770.5039999531582,3
1,"(16, -120)",799.2662999862805,4
1,"(4, 150)",674.8456999743357,3
1,"(8, 180)",441.1235999399796,3
1,"(4, -90)",768.1234999876469,4
1,"(4, 60)",655.3076999811456,5
1,"(8, -60)",731.8107999712229,4
1,"(16, 120)",753.4581000767648,5
1,"(4, -60)",399.93410004209727,4
1,"(8, 0)",453.53850006032735,3
1,"(8, -120)",504.7629000004381,4
1,"(4, 180)",633.9509999928996,3
1,"(4, -150)",666.4033000674099,4
1,"(8, 30)",713.2983999876305,4
1,"(16, 120)",579.4417000692338,3
1,"(8, -180)",820.5205000089481,4
1,"(8, 0)",618.799899992533,3
1,"(8, 30)",834.3091999962926,4
1,"(16, -120)",639.7226000521332,3
1,"(4, -90)",853.1124999830499,3
0,"(4, 90)",588.3434999817982,4
1,"(4, 90)",585.7022000094876,4
1,"(8, 60)",627.6510999854654,3
1,"(16, -180)",593.1632000105456,5
1,"(8, -30)",562.6584999812767,3
1,"(16, 0)",664.2790000736713,4
1,"(16, 150)",583.4194000894204,3
1,"(8, 90)",523.6994000701234,3
1,"(4, -30)",606.8454000018537,3
0,"(8, -120)",701.6358000077307,5
1,"(8, -120)",1123.1550999768078,5
1,"(4, 120)",583.1817000256851,3
1,"(8, 150)",683.911000084132,4
1,"(16, 30)",661.2956000575796,4
1,"(4, 0)",572.6930999048054,8
1,"(16, -60)",577.1764000495896,6
1,"(4, -150)",646.5055000120774,8
1,"(16, 150)",793.7614999795333,6
1,"(4, -30)",524.7636999087408,8
1,"(16, -120)",820.7518000239506,8
1,"(16, 0)",525.4930999912322,8
1,"(4, -120)",854.4158000117168,8
1,"(16, 180)",573.946200016886,8
0,"(8, 0)",406.33299998845905,7
1,"(8, 0)",662.8889999669045,6
1,"(16, 180)",553.5052999006584,7
1,"(16, 150)",1044.3990999450907,8
1,"(16, -150)",581.9356999676675,8
1,"(8, -90)",645.5062999706715,8
1,"(16, -30)",536.8825999870896,8
1,"(16, -90)",462.25419995281845,7
1,"(8, -30)",740.9388999771327,6
1,"(8, 0)",524.8089000200853,8
1,"(16, 0)",553.8134999191388,8
1,"(4, -60)",607.3027999922633,7
1,"(4, -90)",729.5342999827117,6
0,"(8, -60)",690.8474000487477,7
1,"(8, -60)",766.3269000444561,6
1,"(4, 120)",663.2754999995232,8
1,"(4, -60)",545.6366999391466,7
1,"(4, 120)",549.2009999547154,7
1,"(16, 180)",623.0903000654653,8
1,"(4, -150)",741.8799000410363,6
1,"(16, 0)",542.4699999243021,8
1,"(4, 30)",575.2302000150084,6
1,"(16, -60)",500.38549996353686,7
1,"(16, 180)",541.0601000152528,7
1,"(4, -60)",672.788400025107,8
1,"(8, 150)",514.5572000732645,7
1,"(4, -150)",688.5978000322357,6
1,"(4, 0)",532.0650999750942,7
1,"(16, -180)",591.2484999829903,8
1,"(16, -90)",535.4193000206724,7
1,"(4, 30)",548.467299955897,7
1,"(8, 90)",784.6972999945283,6
1,"(8, 60)",706.2775999624282,6
1,"(8, -90)",611.4188000177965,8
1,"(4, -120)",555.7416999330744,8
1,"(16, 180)",638.5269000278786,6
0,"(16, -90)",797.1061000684276,8
1,"(16, -90)",530.3870000028983,7
1,"(4, 120)",601.6282999739051,8
1,"(8, 150)",557.8271000962704,8
1,"(4, -180)",740.0648999577388,6
1,"(4, 0)",658.9095000494272,6
1,"(4, -180)",564.6422999529168,7
1,"(16, -150)",471.7097000069916,7
1,"(16, 30)",504.75710007268935,6
1,"(8, 0)",588.4579999223351,8
1,"(8, -120)",643.2309999912977,6
1,"(8, 120)",786.6260000122711,8
1,"(4, 60)",637.538900071755,8
1,"(8, -150)",747.5639000153169,7
1,"(16, -30)",611.9792999783531,6
1,"(8, -180)",858.0658999821171,7
1,"(8, 180)",663.9118000715971,6
1,"(8, 60)",495.44480006117374,7
1,"(8, 120)",590.7117000864819,7
1,"(8, 60)",466.87219995912164,7
1,"(8, 180)",676.4304000502452,6
1,"(16, 30)",617.2245001038536,6
1,"(8, -30)",742.7819999251515,7
1,"(4, -30)",434.7927999300882,7
1,"(8, 120)",503.03190009109676,7
1,"(16, 30)",609.383300001733,6
1,"(16, -120)",693.6464999420568,6
1,"(16, -60)",948.2983999736607,8
